"","scenario","id","twh"
"1","kwh_S0","Baseline",17.0313424519297
"2","kwh_S0","SSP245",21.0586411628437
"3","kwh_S0","SSP370",21.1195761296797
"4","kwh_S1","Baseline",34.606518384
"5","kwh_S1","SSP245",42.68244194
"6","kwh_S1","SSP370",43.4044457145
"7","kwh_S2","Baseline",67.406313634875
"8","kwh_S2","SSP245",83.03739148825
"9","kwh_S2","SSP370",84.42962528725
"10","kwh_S3","Baseline",145.7117030765
"11","kwh_S3","SSP245",175.66110655025
"12","kwh_S3","SSP370",178.15906353625
"13","kwh_S4","Baseline",2.55432277957422
"14","kwh_S4","SSP245",2.80060346257422
"15","kwh_S4","SSP370",2.80367783857422
