"","scenario","id","twh"
"1","kwh_S0","Baseline",21.0899057619922
"2","kwh_S0","SSP245",21.6818813929844
"3","kwh_S0","SSP370",21.7377481849609
"4","kwh_S1","Baseline",44.00741300825
"5","kwh_S1","SSP245",50.361738365
"6","kwh_S1","SSP370",50.795405678625
"7","kwh_S2","Baseline",85.476437228625
"8","kwh_S2","SSP245",97.71861526225
"9","kwh_S2","SSP370",98.52681980375
"10","kwh_S3","Baseline",180.0184564195
"11","kwh_S3","SSP245",202.71587069675
"12","kwh_S3","SSP370",204.332880221
"13","kwh_S4","Baseline",2.80380189457422
"14","kwh_S4","SSP245",2.83767947357422
"15","kwh_S4","SSP370",2.83767947357422
