"","scenario","id","twh"
"1","kwh_S0","Baseline",22.2326171810313
"2","kwh_S0","SSP245",22.6590193402969
"3","kwh_S0","SSP370",22.6903847450625
"4","kwh_S1","Baseline",57.274384276625
"5","kwh_S1","SSP245",62.745094182625
"6","kwh_S1","SSP370",63.217495392
"7","kwh_S2","Baseline",110.59809852225
"8","kwh_S2","SSP245",120.5845304335
"9","kwh_S2","SSP370",121.40522495175
"10","kwh_S3","Baseline",227.5063793775
"11","kwh_S3","SSP245",247.6854950255
"12","kwh_S3","SSP370",249.4390190025
"13","kwh_S4","Baseline",2.83767947357422
"14","kwh_S4","SSP245",2.83767936988281
"15","kwh_S4","SSP370",2.83767947357422
