id,X,Y
"3742",-8.3605580000,27.0749970000
"3948",-8.3605580000,26.5749970000
"3949",-7.8605580000,26.5749970000
"4154",-8.3605580000,26.0749970000
"4155",-7.8605580000,26.0749970000
"4156",-7.3605580000,26.0749970000
"4157",-6.8605580000,26.0749970000
"4353",-11.8605580000,25.5749970000
"4354",-11.3605580000,25.5749970000
"4355",-10.8605580000,25.5749970000
"4356",-10.3605580000,25.5749970000
"4357",-9.8605580000,25.5749970000
"4358",-9.3605580000,25.5749970000
"4359",-8.8605580000,25.5749970000
"4360",-8.3605580000,25.5749970000
"4361",-7.8605580000,25.5749970000
"4362",-7.3605580000,25.5749970000
"4363",-6.8605580000,25.5749970000
"4364",-6.3605580000,25.5749970000
"4365",-5.8605580000,25.5749970000
"4559",-11.8605580000,25.0749970000
"4560",-11.3605580000,25.0749970000
"4561",-10.8605580000,25.0749970000
"4562",-10.3605580000,25.0749970000
"4563",-9.8605580000,25.0749970000
"4564",-9.3605580000,25.0749970000
"4565",-8.8605580000,25.0749970000
"4566",-8.3605580000,25.0749970000
"4567",-7.8605580000,25.0749970000
"4568",-7.3605580000,25.0749970000
"4569",-6.8605580000,25.0749970000
"4570",-6.3605580000,25.0749970000
"4571",-5.8605580000,25.0749970000
"4572",-5.3605580000,25.0749970000
"4765",-11.8605580000,24.5749970000
"4766",-11.3605580000,24.5749970000
"4767",-10.8605580000,24.5749970000
"4768",-10.3605580000,24.5749970000
"4769",-9.8605580000,24.5749970000
"4770",-9.3605580000,24.5749970000
"4771",-8.8605580000,24.5749970000
"4772",-8.3605580000,24.5749970000
"4773",-7.8605580000,24.5749970000
"4774",-7.3605580000,24.5749970000
"4775",-6.8605580000,24.5749970000
"4776",-6.3605580000,24.5749970000
"4777",-5.8605580000,24.5749970000
"4778",-5.3605580000,24.5749970000
"4779",-4.8605580000,24.5749970000
"4780",-4.3605580000,24.5749970000
"4971",-11.8605580000,24.0749970000
"4972",-11.3605580000,24.0749970000
"4973",-10.8605580000,24.0749970000
"4974",-10.3605580000,24.0749970000
"4975",-9.8605580000,24.0749970000
"4976",-9.3605580000,24.0749970000
"4977",-8.8605580000,24.0749970000
"4978",-8.3605580000,24.0749970000
"4979",-7.8605580000,24.0749970000
"4980",-7.3605580000,24.0749970000
"4981",-6.8605580000,24.0749970000
