,2025,2030
1.Population_Grid,318310793.5501286,1160429108.3636365
1.Population_SA_Diesel,85407.04055309614,94435.09090909087
1.Population_SA_PV,14301401.401213568,10905552.000000041
1.Population_MG_Diesel,13609825.259956803,2106524.0000000005
1.Population_MG_PV,439775555.36907244,82765570.3636365
1.Population_MG_Wind,148607.95128840074,295135.272727272
1.Population_MG_Hydro,0,0
1.Population_MG_Hybrid,0,0
2.New_Connections_Grid,17544496.81661256,533222398.9040279
2.New_Connections_SA_Diesel,32214.78085133172,21839.10643895914
2.New_Connections_SA_PV,8860042.63019861,3469977.859246687
2.New_Connections_MG_Diesel,5724989.621033981,566853.036728328
2.New_Connections_MG_PV,267539769.94272,47026541.84933142
2.New_Connections_MG_Wind,43278.948539940626,175010.78068170024
2.New_Connections_MG_Hydro,0,0
2.New_Connections_MG_Hybrid,0,0
3.Capacity_Grid,9609091.906660786,261825138.92747822
3.Capacity_SA_Diesel,4124.5578845586415,2781.015456617999
3.Capacity_SA_PV,3039747.327631006,1343438.4551549752
3.Capacity_MG_Diesel,1258873.56847739,92601.14242884555
3.Capacity_MG_PV,125075499.61410148,33332168.76553164
3.Capacity_MG_Wind,21407.499611184146,102028.78005823151
3.Capacity_MG_Hydro,0,0
3.Capacity_MG_Hybrid,0,0
4.Investment_Grid,14527258561.774279,483032468211.0234
4.Investment_SA_Diesel,5936157.771604779,1079243.8497379697
4.Investment_SA_PV,13115097664.636496,2029246384.4117513
4.Investment_MG_Diesel,1931233731.8113096,51031067.79497989
4.Investment_MG_PV,464092216514.46094,39447413127.04491
4.Investment_MG_Wind,97859136.27739406,139401953.73999548
4.Investment_MG_Hydro,0,0
4.Investment_MG_Hybrid,0,0
Min_cluster_pop_2030,0.0,0.0
Max_cluster_pop_2030,14236909.00812,15741838.0
Min_cluster_area,100,100
Max_cluster_area,100,100
Min_existing_grid_dist,0.300000134,0.300000134
Max_existing_grid_dist,970.5854841,970.5854841
Min_road_dist,0.008095495,0.008095495
Max_road_dist,487.3041233,487.3041233
Min_investment_capita_cost,121.12375453230979,32.214099472389634
Max_investment_capita_cost,7484.791069121399,2412.5365139399587
