,2025,2030
1.Population_Grid,315426952.57996184,853397129.4545455
1.Population_SA_Diesel,11250295.048791364,39505071.45454546
1.Population_SA_PV,338320397.33786136,335020510.36363524
1.Population_MG_Diesel,6035360.651470611,1171038.90909091
1.Population_MG_PV,119368589.26296762,27360838.909090914
1.Population_MG_Wind,101616.180097682,141735.9999999996
1.Population_MG_Hydro,0,0
1.Population_MG_Hybrid,0,0
2.New_Connections_Grid,17434115.454498336,462737877.97618467
2.New_Connections_SA_Diesel,3699083.3708397583,9146021.988842702
2.New_Connections_SA_PV,213701236.5754635,93451203.06779699
2.New_Connections_MG_Diesel,2576785.018100019,443286.29525496776
2.New_Connections_MG_PV,77505278.14198244,13051769.129940748
2.New_Connections_MG_Wind,13061.504063029686,55362.2469169699
2.New_Connections_MG_Hydro,0,0
2.New_Connections_MG_Hybrid,0,0
3.Capacity_Grid,2662863.6534005497,66057160.8596313
3.Capacity_SA_Diesel,95669.65336707913,256134.18946398806
3.Capacity_SA_PV,9020221.92023167,4269446.332616741
3.Capacity_MG_Diesel,69990.81213937962,7757.363138230487
3.Capacity_MG_PV,3622377.3240411123,2019779.633848119
3.Capacity_MG_Wind,470.5601747783622,18047.099237468665
3.Capacity_MG_Hydro,0,0
3.Capacity_MG_Hybrid,0,0
4.Investment_Grid,4776403705.091929,123556861552.86197
4.Investment_SA_Diesel,137689946.95597365,99399393.13490836
4.Investment_SA_PV,45564933694.59904,8049818134.262106
4.Investment_MG_Diesel,278781780.9987039,15031066.501249418
4.Investment_MG_PV,16549266318.334225,2551452643.312177
4.Investment_MG_Wind,3239637.5081385165,25983961.713543035
4.Investment_MG_Hydro,0,0
4.Investment_MG_Hybrid,0,0
Min_cluster_pop_2030,0.0,0.0
Max_cluster_pop_2030,14236909.00812,15741838.0
Min_cluster_area,100,100
Max_cluster_area,100,100
Min_existing_grid_dist,0.300000134,0.300000134
Max_existing_grid_dist,970.5854841,970.5854841
Min_road_dist,0.008095495,0.008095495
Max_road_dist,487.3041233,487.3041233
Min_investment_capita_cost,28.784456117482694,7.761509179459514
Max_investment_capita_cost,2899.140039380407,881.6778677156517
