,2025,2030
1.Population_Grid,318309873.8581462,1154657366.5454562
1.Population_SA_Diesel,86933.33788558586,96122.72727272722
1.Population_SA_PV,26443111.644868728,21209408.181818258
1.Population_MG_Diesel,13635958.785323959,2116198.0000000005
1.Population_MG_PV,426516749.7192439,78232281.27272736
1.Population_MG_Wind,0,284948.3636363629
1.Population_MG_Hydro,0,0
1.Population_MG_Hybrid,0,0
2.New_Connections_Grid,17544350.762273025,531734981.52531004
2.New_Connections_SA_Diesel,32770.86228264799,22229.39006997923
2.New_Connections_SA_PV,16077764.820482582,6867924.807026026
2.New_Connections_MG_Diesel,5750248.940961063,530484.7122606138
2.New_Connections_MG_PV,260895098.71552077,46095171.480884805
2.New_Connections_MG_Wind,0,211636.1146163629
2.New_Connections_MG_Hydro,0,0
2.New_Connections_MG_Hybrid,0,0
3.Capacity_Grid,7599611.56508259,185571346.0768583
3.Capacity_SA_Diesel,4257.6557186991,2869.0410262469795
3.Capacity_SA_PV,3907780.02748816,1828126.6838762425
3.Capacity_MG_Diesel,847454.2372827622,57833.09973378035
3.Capacity_MG_PV,72871763.8056068,19901728.728577673
3.Capacity_MG_Wind,0,80358.78801505314
3.Capacity_MG_Hydro,0,0
3.Capacity_MG_Hybrid,0,0
4.Investment_Grid,11672985252.868681,340872802928.5392
4.Investment_SA_Diesel,6127715.209912181,1113404.4130730939
4.Investment_SA_PV,17250289678.34841,2763030746.143344
4.Investment_MG_Diesel,1522064143.045648,37435336.586456396
4.Investment_MG_PV,277914824539.8896,23977523782.850677
4.Investment_MG_Wind,0,113978987.20456071
4.Investment_MG_Hydro,0,0
4.Investment_MG_Hybrid,0,0
Min_cluster_pop_2030,0.0,0.0
Max_cluster_pop_2030,14236909.00812,15741838.0
Min_cluster_area,100,100
Max_cluster_area,100,100
Min_existing_grid_dist,0.300000134,0.300000134
Max_existing_grid_dist,970.5854841,970.5854841
Min_road_dist,0.008095495,0.008095495
Max_road_dist,487.3041233,487.3041233
Min_investment_capita_cost,121.12375453230979,32.214099472389634
Max_investment_capita_cost,6899.261138262301,1843.3061524188306
