,2025,2030
1.Population_Grid,317643785.5010774,1107533231.6363645
1.Population_SA_Diesel,3655527.0024109134,6306806.545454546
1.Population_SA_PV,71370855.75895151,69124053.09090894
1.Population_MG_Diesel,11292299.303887302,1275459.8181818188
1.Population_MG_PV,381017334.7377546,72122090.72727276
1.Population_MG_Wind,0,234683.27272727198
1.Population_MG_Hydro,0,0
1.Population_MG_Hybrid,0,0
2.New_Connections_Grid,17491900.520913593,519679948.1543995
2.New_Connections_SA_Diesel,1217400.4413681773,1468574.612460625
2.New_Connections_SA_PV,39567587.430668265,19731128.059585515
2.New_Connections_MG_Diesel,4889208.632279906,310644.85513416934
2.New_Connections_MG_PV,237144396.25571278,43944858.39069342
2.New_Connections_MG_Wind,0,161371.02370727196
2.New_Connections_MG_Hydro,0,0
2.New_Connections_MG_Hybrid,0,0
3.Capacity_Grid,4915718.011987357,116307940.28026609
3.Capacity_SA_Diesel,38633.226632690574,44027.996890828035
3.Capacity_SA_PV,3604505.0764009403,2430343.4041675245
3.Capacity_MG_Diesel,492409.65201103943,29673.67742049391
3.Capacity_MG_PV,38263873.47061764,13040435.08306876
3.Capacity_MG_Wind,0,41416.585484865886
3.Capacity_MG_Hydro,0,0
3.Capacity_MG_Hybrid,0,0
4.Investment_Grid,7916494740.3758545,219225587694.4047
4.Investment_SA_Diesel,55601820.83427235,17086185.10106884
4.Investment_SA_PV,17854648307.451332,3809424085.7819176
4.Investment_MG_Diesel,1029374599.4288948,19763811.990033396
4.Investment_MG_PV,152213629308.62427,16001228208.384523
4.Investment_MG_Wind,0,59750700.21456454
4.Investment_MG_Hydro,0,0
4.Investment_MG_Hybrid,0,0
Min_cluster_pop_2030,0.0,0.0
Max_cluster_pop_2030,14236909.00812,15741838.0
Min_cluster_area,100,100
Max_cluster_area,100,100
Min_existing_grid_dist,0.300000134,0.300000134
Max_existing_grid_dist,970.5854841,970.5854841
Min_road_dist,0.008095495,0.008095495
Max_road_dist,487.3041233,487.3041233
Min_investment_capita_cost,28.784456117482694,7.761509179459514
Max_investment_capita_cost,5250.714905643392,1364.8677275712205
