,2025,2030
1.Population_Grid,315549849.44262594,886406687.0909094
1.Population_SA_Diesel,8553672.97842059,24170564.727272745
1.Population_SA_PV,318819004.5196965,312316319.636363
1.Population_MG_Diesel,6257105.409854838,1047478.727272728
1.Population_MG_PV,138949636.15481657,32513538.90909092
1.Population_MG_Wind,101616.180097682,141735.9999999996
1.Population_MG_Hydro,0,0
1.Population_MG_Hybrid,0,0
2.New_Connections_Grid,17464728.88292282,473574469.09341455
2.New_Connections_SA_Diesel,2928146.5184415975,5599756.279963005
2.New_Connections_SA_PV,199929172.62563846,86790647.2623112
2.New_Connections_MG_Diesel,2712965.7228866117,414711.70569967065
2.New_Connections_MG_PV,90732195.2200741,14474923.440568792
2.New_Connections_MG_Wind,13061.504063029686,55362.2469169699
2.New_Connections_MG_Hydro,0,0
2.New_Connections_MG_Hybrid,0,0
3.Capacity_Grid,2959742.480476041,75370147.8342075
3.Capacity_SA_Diesel,78197.6673589504,167531.5407191227
3.Capacity_SA_PV,9033961.452499386,4250991.710339276
3.Capacity_MG_Diesel,74753.98359662644,7449.959452484039
3.Capacity_MG_PV,4568412.620299128,2130440.899211989
3.Capacity_MG_Wind,486.7129946528878,18079.2328251663
3.Capacity_MG_Hydro,0,0
3.Capacity_MG_Hybrid,0,0
4.Investment_Grid,5183769859.670501,138699443909.48468
4.Investment_SA_Diesel,112543866.22916095,65014879.557023324
4.Investment_SA_PV,45453581922.3139,7946786198.3008
4.Investment_MG_Diesel,298940892.22239107,14136347.496956557
4.Investment_MG_PV,20649654168.71466,2725893355.810778
4.Investment_MG_Wind,3304248.787636618,26025529.23619039
4.Investment_MG_Hydro,0,0
4.Investment_MG_Hybrid,0,0
Min_cluster_pop_2030,0.0,0.0
Max_cluster_pop_2030,14236909.00812,15741838.0
Min_cluster_area,100,100
Max_cluster_area,100,100
Min_existing_grid_dist,0.300000134,0.300000134
Max_existing_grid_dist,970.5854841,970.5854841
Min_road_dist,0.008095495,0.008095495
Max_road_dist,487.3041233,487.3041233
Min_investment_capita_cost,28.784456117482694,7.761509179459514
Max_investment_capita_cost,3485.9601349806735,902.4760347182279
