,2025,2030
1.Population_Grid,317954800.2365516,1149783148.1818175
1.Population_SA_Diesel,2736129.689784839,6231923.090909089
1.Population_SA_PV,16590505.536971003,14609183.272727298
1.Population_MG_Diesel,12194375.55900259,1290335.4545454553
1.Population_MG_PV,419616179.9146649,84428014.36363642
1.Population_MG_Wind,222738.11780951958,253720.72727272654
1.Population_MG_Hydro,0,0
1.Population_MG_Hybrid,0,0
2.New_Connections_Grid,17538225.13989252,527960241.98068964
2.New_Connections_SA_Diesel,952916.6248423132,1433093.1105908272
2.New_Connections_SA_PV,8916092.709038751,3497598.4634586545
2.New_Connections_MG_Diesel,5188205.119018001,299977.8624449761
2.New_Connections_MG_PV,245707645.0805397,64967153.09651968
2.New_Connections_MG_Wind,99836.06518309165,67118.15923141944
2.New_Connections_MG_Hydro,0,0
2.New_Connections_MG_Hybrid,0,0
3.Capacity_Grid,9179588.570798576,313630296.80802786
3.Capacity_SA_Diesel,19482.070477607107,29236.52893579539
3.Capacity_SA_PV,1103090.6677037987,560563.5103572375
3.Capacity_MG_Diesel,2002194.8160280236,142996.76346667888
3.Capacity_MG_PV,255133808.46769086,94741309.04786034
3.Capacity_MG_Wind,114181.20033825404,75333.91532757173
3.Capacity_MG_Hydro,0,0
3.Capacity_MG_Hybrid,0,0
4.Investment_Grid,14074417108.124994,611440773005.5054
4.Investment_SA_Diesel,28039040.13701939,11345979.385535486
4.Investment_SA_PV,4992280952.747266,861882538.5121053
4.Investment_MG_Diesel,2614913357.58016,54461072.72865986
4.Investment_MG_PV,920178072579.0117,110101606684.70056
4.Investment_MG_Wind,475635046.50554395,101448145.5153664
4.Investment_MG_Hydro,0,0
4.Investment_MG_Hybrid,0,0
Min_cluster_pop_2030,0.0,0.0
Max_cluster_pop_2030,14236909.00812,15741838.0
Min_cluster_area,100,100
Max_cluster_area,100,100
Min_existing_grid_dist,0.300000134,0.300000134
Max_existing_grid_dist,970.5854841,970.5854841
Min_road_dist,0.008095495,0.008095495
Max_road_dist,487.3041233,487.3041233
Min_investment_capita_cost,28.784456117482694,7.761509179459514
Max_investment_capita_cost,7806.920336162533,2474.411799346494
