,2025,2030
1.Population_Grid,317893316.6980788,1154999391.6363637
1.Population_SA_Diesel,315517.65792113467,345909.454545454
1.Population_SA_PV,11144330.187455257,21285113.81818193
1.Population_MG_Diesel,13523064.580140505,1974678.3636363647
1.Population_MG_PV,441430973.3120969,77712644.54545459
1.Population_MG_Wind,212247.413519692,278587.272727272
1.Population_MG_Hydro,0,0
1.Population_MG_Hybrid,0,0
2.New_Connections_Grid,17538717.091045737,540216400.7255259
2.New_Connections_SA_Diesel,93041.64709986444,79293.11420063523
2.New_Connections_SA_PV,6387530.695276046,13527732.619091423
2.New_Connections_MG_Diesel,5718332.681502527,456665.10775829724
2.New_Connections_MG_PV,282278663.217052,31786396.946667664
2.New_Connections_MG_Wind,91419.2009117382,98176.97123553378
2.New_Connections_MG_Hydro,0,0
2.New_Connections_MG_Hybrid,0,0
3.Capacity_Grid,5705595.530569079,147556564.6491257
3.Capacity_SA_Diesel,12409.899232339061,10371.810121329763
3.Capacity_SA_PV,997711.1303771423,2359563.2271010634
3.Capacity_MG_Diesel,459129.27219223,27895.565471131238
3.Capacity_MG_PV,50241158.88679907,7824803.295441197
3.Capacity_MG_Wind,13079.697240288322,37971.58523679551
3.Capacity_MG_Hydro,0,0
3.Capacity_MG_Hybrid,0,0
4.Investment_Grid,9026349166.89532,267174242503.91583
4.Investment_SA_Diesel,17860609.993782315,4025044.973215604
4.Investment_SA_PV,4875719015.436131,3383977121.083199
4.Investment_MG_Diesel,1108486818.4434268,20964195.92688029
4.Investment_MG_PV,198125712920.2486,9810685820.836817
4.Investment_MG_Wind,62468121.46061356,53961402.153050885
4.Investment_MG_Hydro,0,0
4.Investment_MG_Hybrid,0,0
Min_cluster_pop_2030,0.0,0.0
Max_cluster_pop_2030,14236909.00812,15741838.0
Min_cluster_area,100,100
Max_cluster_area,100,100
Min_existing_grid_dist,0.300000134,0.300000134
Max_existing_grid_dist,970.5854841,970.5854841
Min_road_dist,0.008095495,0.008095495
Max_road_dist,487.3041233,487.3041233
Min_investment_capita_cost,104.34993429356535,32.214099472389634
Max_investment_capita_cost,4955.8149883386595,1448.55981078789
