,2025,2030
1.Population_Grid,318232283.62391657,1158490126.1818185
1.Population_SA_Diesel,113392.61147679354,125378.90909090904
1.Population_SA_PV,18164270.02586885,13131671.636363704
1.Population_MG_Diesel,13632905.039605184,2106524.0000000005
1.Population_MG_PV,434931187.77743024,82447489.09090926
1.Population_MG_Wind,7285.01947008106,295135.272727272
1.Population_MG_Hydro,0,0
1.Population_MG_Hybrid,0,0
2.New_Connections_Grid,17538067.143937755,532364606.8739825
2.New_Connections_SA_Diesel,40208.68312647451,28995.189335634543
2.New_Connections_SA_PV,10746893.80833775,3947072.0806244523
2.New_Connections_MG_Diesel,5757181.437155704,523447.48874206236
2.New_Connections_MG_PV,264867783.72719166,48242086.93503971
2.New_Connections_MG_Wind,5845.0336393689,221823.023707272
2.New_Connections_MG_Hydro,0,0
2.New_Connections_MG_Hybrid,0,0
3.Capacity_Grid,8984143.932000276,235049421.40907362
3.Capacity_SA_Diesel,5137.118839410061,3687.452623530217
3.Capacity_SA_PV,3354041.4321550103,1398487.5802075958
3.Capacity_MG_Diesel,1193550.003878355,79683.6481580109
3.Capacity_MG_PV,106344528.67884837,32168390.956575815
3.Capacity_MG_Wind,2188.8421863525086,122691.28952814327
3.Capacity_MG_Hydro,0,0
3.Capacity_MG_Hybrid,0,0
4.Investment_Grid,13638268889.40284,439250899291.7324
4.Investment_SA_Diesel,7393458.590164635,1431009.8693175926
4.Investment_SA_PV,14615780138.874437,2124998257.4322884
4.Investment_MG_Diesel,1872995330.8953156,44097729.74472124
4.Investment_MG_PV,397030580730.25085,38131097577.52646
4.Investment_MG_Wind,11321347.697494254,170264405.08441097
4.Investment_MG_Hydro,0,0
4.Investment_MG_Hybrid,0,0
Min_cluster_pop_2030,0.0,0.0
Max_cluster_pop_2030,14236909.00812,15741838.0
Min_cluster_area,100,100
Max_cluster_area,100,100
Min_existing_grid_dist,0.300000134,0.300000134
Max_existing_grid_dist,970.5854841,970.5854841
Min_road_dist,0.008095495,0.008095495
Max_road_dist,487.3041233,487.3041233
Min_investment_capita_cost,121.12375453230979,32.214099472389634
Max_investment_capita_cost,7124.943987208974,2284.154893253231
