,2025,2030
1.Population_Grid,317954797.93444395,749677435.8181815
1.Population_SA_Diesel,40169497.21634676,165891480.36363605
1.Population_SA_PV,374836661.6020113,329226953.99999964
1.Population_MG_Diesel,1464108.198040442,189533.272727273
1.Population_MG_PV,55141868.59377472,11610921.636363637
1.Population_MG_Wind,101616.180097682,0
1.Population_MG_Hydro,0,0
1.Population_MG_Hybrid,0,0
2.New_Connections_Grid,17507607.668988172,432570467.76618516
2.New_Connections_SA_Diesel,12757910.15601768,38397290.08201053
2.New_Connections_SA_PV,238317882.35694683,104156801.37677872
2.New_Connections_MG_Diesel,734770.1929443757,43831.55961378696
2.New_Connections_MG_PV,35583622.072008535,6248654.597806921
2.New_Connections_MG_Wind,13061.504063029686,0
2.New_Connections_MG_Hydro,0,0
2.New_Connections_MG_Hybrid,0,0
3.Capacity_Grid,608273.8980504613,14922399.396582639
3.Capacity_SA_Diesel,261449.49048814012,778166.2089178159
3.Capacity_SA_PV,5871356.048753616,2902934.11082693
3.Capacity_MG_Diesel,9754.776092333464,686.9165380729114
3.Capacity_MG_PV,814355.5768040636,332398.2375322328
3.Capacity_MG_Wind,249.31712499788742,0
3.Capacity_MG_Hydro,0,0
3.Capacity_MG_Hybrid,0,0
4.Investment_Grid,1953983030.2643309,33653790190.22361
4.Investment_SA_Diesel,376284069.29470444,301987208.68304205
4.Investment_SA_PV,32697091381.41498,5774828609.335895
4.Investment_MG_Diesel,54973462.87284205,1216100.193939996
4.Investment_MG_PV,4430900718.227505,455711731.09388685
4.Investment_MG_Wind,2354665.309016616,0
4.Investment_MG_Hydro,0,0
4.Investment_MG_Hybrid,0,0
Min_cluster_pop_2030,0.0,0.0
Max_cluster_pop_2030,14236909.00812,15741838.0
Min_cluster_area,100,100
Max_cluster_area,100,100
Min_existing_grid_dist,0.300000134,0.300000134
Max_existing_grid_dist,970.5854841,970.5854841
Min_road_dist,0.008095495,0.008095495
Max_road_dist,487.3041233,487.3041233
Min_investment_capita_cost,28.915891990165264,7.79694986064426
Max_investment_capita_cost,2164.1462852847894,703.0822107698987
