,2025,2030
1.Population_Grid,318202053.4980921,1080286770.1818175
1.Population_SA_Diesel,1185889.287300299,751301.0909090904
1.Population_SA_PV,111806025.3996703,117361161.27272716
1.Population_MG_Diesel,12218620.205091756,1922873.2727272739
1.Population_MG_PV,340883294.5825153,56010157.63636369
1.Population_MG_Wind,212247.413519692,264061.6363636356
1.Population_MG_Hydro,0,0
1.Population_MG_Hybrid,0,0
2.New_Connections_Grid,17534505.2282111,520577258.7464185
2.New_Connections_SA_Diesel,374929.35867715423,173044.18714164774
2.New_Connections_SA_PV,66405102.4758071,33100904.223347653
2.New_Connections_MG_Diesel,5202978.477412991,546029.8009600687
2.New_Connections_MG_PV,218922671.22869098,31805108.200624976
2.New_Connections_MG_Wind,91419.2009117382,83651.33487189739
2.New_Connections_MG_Hydro,0,0
2.New_Connections_MG_Hybrid,0,0
3.Capacity_Grid,1504992.1774203,39359752.67334445
3.Capacity_SA_Diesel,27392.09926408433,12642.497690713992
3.Capacity_SA_PV,5122835.796202085,2609533.5397112747
3.Capacity_MG_Diesel,203357.45806311033,17643.780715610745
3.Capacity_MG_PV,18794418.660716508,3218973.3829686996
3.Capacity_MG_Wind,6515.95765070393,9706.391685961058
3.Capacity_MG_Hydro,0,0
3.Capacity_MG_Hybrid,0,0
4.Investment_Grid,3194428783.0271554,79402384692.80397
4.Investment_SA_Diesel,39423333.961638294,4906243.093888619
4.Investment_SA_PV,25614178981.010384,4397310268.476322
4.Investment_MG_Diesel,749106912.045212,20494572.252614867
4.Investment_MG_PV,79690916425.25568,4363412661.739998
4.Investment_MG_Wind,36159996.95957483,15874273.619036755
4.Investment_MG_Hydro,0,0
4.Investment_MG_Hybrid,0,0
Min_cluster_pop_2030,0.0,0.0
Max_cluster_pop_2030,14236909.00812,15741838.0
Min_cluster_area,100,100
Max_cluster_area,100,100
Min_existing_grid_dist,0.300000134,0.300000134
Max_existing_grid_dist,970.5854841,970.5854841
Min_road_dist,0.008095495,0.008095495
Max_road_dist,487.3041233,487.3041233
Min_investment_capita_cost,83.01133396518598,24.807648613361643
Max_investment_capita_cost,2203.0933709683777,742.0292964534873
