,2025,2030
1.Population_Grid,317879974.8335382,1153776149.2727277
1.Population_SA_Diesel,315517.65792113467,345909.454545454
1.Population_SA_PV,11565963.49475968,21762093.818181925
1.Population_MG_Diesel,13536406.444681145,1989430.5454545466
1.Population_MG_PV,439683969.4717464,78444154.72727284
1.Population_MG_Wind,212247.413519692,278587.272727272
1.Population_MG_Hydro,0,0
1.Population_MG_Hybrid,0,0
2.New_Connections_Grid,17536997.898764193,538874267.6268544
2.New_Connections_SA_Diesel,93041.64709986444,79293.11420063523
2.New_Connections_SA_PV,6402365.82679275,13976043.834160283
2.New_Connections_MG_Diesel,5720051.873784071,460076.70471693506
2.New_Connections_MG_PV,281312893.2995329,33747760.30066095
2.New_Connections_MG_Wind,91419.2009117382,98176.97123553378
2.New_Connections_MG_Hydro,0,0
2.New_Connections_MG_Hybrid,0,0
3.Capacity_Grid,5409088.18098747,138241420.9819693
3.Capacity_SA_Diesel,12119.129808548525,10140.256781828517
3.Capacity_SA_PV,977227.952922197,2367919.5102745323
3.Capacity_MG_Diesel,454237.5180833079,28064.112307340776
3.Capacity_MG_PV,49120715.95875092,8100088.042581024
3.Capacity_MG_Wind,12974.061395901856,37865.848645308324
3.Capacity_MG_Hydro,0,0
3.Capacity_MG_Hybrid,0,0
4.Investment_Grid,8618834319.626724,252514020320.2413
4.Investment_SA_Diesel,17442128.007812098,3935184.8047119323
4.Investment_SA_PV,4790026669.303617,3406732524.0130663
4.Investment_MG_Diesel,1104228372.1870687,21298358.69545146
4.Investment_MG_PV,193829651495.22272,10178448900.289623
4.Investment_MG_Wind,62036582.33248117,53823248.46489492
4.Investment_MG_Hydro,0,0
4.Investment_MG_Hybrid,0,0
Min_cluster_pop_2030,0.0,0.0
Max_cluster_pop_2030,14236909.00812,15741838.0
Min_cluster_area,100,100
Max_cluster_area,100,100
Min_existing_grid_dist,0.300000134,0.300000134
Max_existing_grid_dist,970.5854841,970.5854841
Min_road_dist,0.008095495,0.008095495
Max_road_dist,487.3041233,487.3041233
Min_investment_capita_cost,104.34993429356535,32.214099472389634
Max_investment_capita_cost,4567.087304263606,1448.55981078789
