,2025,2030
1.Population_Grid,318324598.13829494,1164632245.6363623
1.Population_SA_Diesel,85407.04055309614,208285.6363636359
1.Population_SA_PV,4344840.171906249,3572942.5454545603
1.Population_MG_Diesel,13801245.506105402,1998564.90909091
1.Population_MG_PV,443319640.79618907,85909242.36363636
1.Population_MG_Wind,258520.92714218033,275043.99999999924
1.Population_MG_Hydro,0,0
1.Population_MG_Hybrid,0,0
2.New_Connections_Grid,17546281.21212134,529807584.48978907
2.New_Connections_SA_Diesel,32214.78085133172,47466.16105350415
2.New_Connections_SA_PV,2348787.976109478,934761.9909323673
2.New_Connections_MG_Diesel,5810189.463866791,463763.3609511815
2.New_Connections_MG_PV,266500898.33232942,57710793.36303801
2.New_Connections_MG_Wind,125916.27879885327,64218.3105754994
2.New_Connections_MG_Hydro,0,0
2.New_Connections_MG_Hybrid,0,0
3.Capacity_Grid,11821340.177439988,370801959.8230768
3.Capacity_SA_Diesel,4080.538907835351,6012.380400110525
3.Capacity_SA_PV,1113011.1079237831,556143.7876190261
3.Capacity_MG_Diesel,2341776.633672414,165832.17731182068
3.Capacity_MG_PV,317446870.7918549,92210458.77518012
3.Capacity_MG_Wind,141552.77857115795,73241.32096177111
3.Capacity_MG_Hydro,0,0
3.Capacity_MG_Hybrid,0,0
4.Investment_Grid,17772987353.39355,708151171662.2965
4.Investment_SA_Diesel,5872804.656413376,2333257.283293016
4.Investment_SA_PV,4896493609.518473,799051877.9116001
4.Investment_MG_Diesel,3035399744.82614,65306138.926372476
4.Investment_MG_PV,1143571464318.9294,107015674504.86087
4.Investment_MG_Wind,593399275.2592661,98211718.57405286
4.Investment_MG_Hydro,0,0
4.Investment_MG_Hybrid,0,0
Min_cluster_pop_2030,0.0,0.0
Max_cluster_pop_2030,14236909.00812,15741838.0
Min_cluster_area,100,100
Max_cluster_area,100,100
Min_existing_grid_dist,0.300000134,0.300000134
Max_existing_grid_dist,970.5854841,970.5854841
Min_road_dist,0.008095495,0.008095495
Max_road_dist,487.3041233,487.3041233
Min_investment_capita_cost,121.12375453230979,32.214099472389634
Max_investment_capita_cost,8314.89960464393,2678.2310584553024
