,2025,2030
1.Population_Grid,317958955.5407524,1150968039.4545445
1.Population_SA_Diesel,2736129.689784839,5831128.545454543
1.Population_SA_PV,15080488.709361164,13351428.36363639
1.Population_MG_Diesel,12194375.55900259,1287847.2727272734
1.Population_MG_PV,420738503.40717685,84889635.09090912
1.Population_MG_Wind,222738.11780951958,268246.36363636295
1.Population_MG_Hydro,0,0
1.Population_MG_Hybrid,0,0
2.New_Connections_Grid,17538335.38824022,528064629.2143142
2.New_Connections_SA_Diesel,952916.6248423132,1340405.1631967553
2.New_Connections_SA_PV,7877366.749922269,3219110.052518797
2.New_Connections_MG_Diesel,5188205.119018001,299402.44427103625
2.New_Connections_MG_PV,246769644.23246425,65545999.32930197
2.New_Connections_MG_Wind,99836.06518309165,81643.79559505584
2.New_Connections_MG_Hydro,0,0
2.New_Connections_MG_Hybrid,0,0
3.Capacity_Grid,9089381.476701453,310836108.37949157
3.Capacity_SA_Diesel,19058.332496846262,26980.078441030808
3.Capacity_SA_PV,1113987.5362227012,587365.7657446072
3.Capacity_MG_Diesel,1985788.243229735,141946.73508957378
3.Capacity_MG_PV,251500406.82425073,95088458.04694669
3.Capacity_MG_Wind,113276.17889317597,90912.19101132928
3.Capacity_MG_Hydro,0,0
3.Capacity_MG_Hybrid,0,0
4.Investment_Grid,13948607540.710945,605782430067.5476
4.Investment_SA_Diesel,27429186.771393314,10470306.324129922
4.Investment_SA_PV,5008789184.633429,893059787.5256221
4.Investment_MG_Diesel,2598633644.8345733,54022194.94268744
4.Investment_MG_PV,907427394105.7085,110524702157.09721
4.Investment_MG_Wind,471985350.89243263,122949542.01380567
4.Investment_MG_Hydro,0,0
4.Investment_MG_Hybrid,0,0
Min_cluster_pop_2030,0.0,0.0
Max_cluster_pop_2030,14236909.00812,15741838.0
Min_cluster_area,100,100
Max_cluster_area,100,100
Min_existing_grid_dist,0.300000134,0.300000134
Max_existing_grid_dist,970.5854841,970.5854841
Min_road_dist,0.008095495,0.008095495
Max_road_dist,487.3041233,487.3041233
Min_investment_capita_cost,28.784456117482694,7.761509179459514
Max_investment_capita_cost,7705.969280946417,2465.58922537474
