,2025,2030
1.Population_Grid,315377800.2807974,812761008.1818187
1.Population_SA_Diesel,38843216.199748494,164252441.81818148
1.Population_SA_PV,326530121.08369964,251655820.18181777
1.Population_MG_Diesel,2833549.127745071,204285.4545454548
1.Population_MG_PV,102501737.57978132,27722769.454545453
1.Population_MG_Wind,101616.180097682,0
1.Population_MG_Hydro,0,0
1.Population_MG_Hybrid,0,0
2.New_Connections_Grid,17385058.995188605,456513561.2105744
2.New_Connections_SA_Diesel,12429788.576077152,38018245.20677239
2.New_Connections_SA_PV,205939588.09254122,67931279.9529825
2.New_Connections_MG_Diesel,1129613.6325613107,48962.34885396875
2.New_Connections_MG_PV,64166257.55849414,19855864.01142378
2.New_Connections_MG_Wind,13061.504063029686,0
2.New_Connections_MG_Hydro,0,0
2.New_Connections_MG_Hybrid,0,0
3.Capacity_Grid,1939581.2806235594,50546376.854738206
3.Capacity_SA_Diesel,250541.54488911855,764343.2811432149
3.Capacity_SA_PV,4759941.508823295,2195093.2726325016
3.Capacity_MG_Diesel,80488.78183295684,8631.810872871678
3.Capacity_MG_PV,3120036.2822111696,5989719.698831412
3.Capacity_MG_Wind,249.31712499788742,0
3.Capacity_MG_Hydro,0,0
3.Capacity_MG_Hybrid,0,0
4.Investment_Grid,3778648949.3009987,102616739307.37537
4.Investment_SA_Diesel,360585105.2233582,296622869.64256346
4.Investment_SA_PV,27198606861.271717,4349095993.867994
4.Investment_MG_Diesel,179290423.92457104,4718450.9417613465
4.Investment_MG_PV,14055303513.123056,7351315576.108766
4.Investment_MG_Wind,2354665.309016616,0
4.Investment_MG_Hydro,0,0
4.Investment_MG_Hybrid,0,0
Min_cluster_pop_2030,0.0,0.0
Max_cluster_pop_2030,14236909.00812,15741838.0
Min_cluster_area,100,100
Max_cluster_area,100,100
Min_existing_grid_dist,0.300000134,0.300000134
Max_existing_grid_dist,970.5854841,970.5854841
Min_road_dist,0.008095495,0.008095495
Max_road_dist,487.3041233,487.3041233
Min_investment_capita_cost,28.915891990165264,7.79694986064426
Max_investment_capita_cost,6366.6485271005795,1463.5743653001068
