,2025,2030
1.Population_Grid,318231808.23869914,1154298840.545456
1.Population_SA_Diesel,86933.33788558586,96122.72727272722
1.Population_SA_PV,26571921.470878977,21217384.36363644
1.Population_MG_Diesel,13644485.791839104,2116198.0000000005
1.Population_MG_PV,426305622.28106683,78582831.09090918
1.Population_MG_Wind,0,284948.3636363629
1.Population_MG_Hydro,0,0
1.Population_MG_Hybrid,0,0
2.New_Connections_Grid,17542291.174703036,531631379.5314616
2.New_Connections_SA_Diesel,32770.86228264799,22229.39006997923
2.New_Connections_SA_PV,16171125.561354319,6857623.578287643
2.New_Connections_MG_Diesel,5756282.338881937,530484.7122606138
2.New_Connections_MG_PV,260784808.4184644,46273856.30584539
2.New_Connections_MG_Wind,0,211636.1146163629
2.New_Connections_MG_Hydro,0,0
2.New_Connections_MG_Hybrid,0,0
3.Capacity_Grid,7650000.125983756,187042524.39162368
3.Capacity_SA_Diesel,4527.831656720976,3124.424602040441
3.Capacity_SA_PV,3941347.2307460955,1832134.552982116
3.Capacity_MG_Diesel,852377.8962389454,57980.63930879713
3.Capacity_MG_PV,73368120.03975186,20040605.997747764
3.Capacity_MG_Wind,0,80711.85215419746
3.Capacity_MG_Hydro,0,0
3.Capacity_MG_Hybrid,0,0
4.Investment_Grid,11744169605.596529,343374161374.95465
4.Investment_SA_Diesel,6516558.581511702,1212512.5114633015
4.Investment_SA_PV,17391137891.76823,2770138745.0637445
4.Investment_MG_Diesel,1529421320.6281548,37479653.386592075
4.Investment_MG_PV,279589324406.91595,24143608426.589348
4.Investment_MG_Wind,0,114442759.29241444
4.Investment_MG_Hydro,0,0
4.Investment_MG_Hybrid,0,0
Min_cluster_pop_2030,0.0,0.0
Max_cluster_pop_2030,14236909.00812,15741838.0
Min_cluster_area,100,100
Max_cluster_area,100,100
Min_existing_grid_dist,0.300000134,0.300000134
Max_existing_grid_dist,970.5854841,970.5854841
Min_road_dist,0.008095495,0.008095495
Max_road_dist,487.3041233,487.3041233
Min_investment_capita_cost,121.12375453230979,32.214099472389634
Max_investment_capita_cost,6961.792750164629,1863.1643491482907
