,2025,2030
1.Population_Grid,317885229.3941134,1146341066.1818192
1.Population_SA_Diesel,2466039.52094669,4324431.999999998
1.Population_SA_PV,29705896.790235776,22475698.00000004
1.Population_MG_Diesel,11537866.271617837,1359253.6363636372
1.Population_MG_PV,423228322.54848003,81844644.00000015
1.Population_MG_Wind,0,251231.27272727198
1.Population_MG_Hydro,0,0
1.Population_MG_Hybrid,0,0
2.New_Connections_Grid,17527552.426544577,530563458.92406654
2.New_Connections_SA_Diesel,869404.4453735867,1010129.6818389953
2.New_Connections_SA_PV,16784291.355129257,6398336.719792623
2.New_Connections_MG_Diesel,4991642.985879562,331874.18022407213
2.New_Connections_MG_PV,256685522.96899664,47121550.162426144
2.New_Connections_MG_Wind,0,177919.02370727196
2.New_Connections_MG_Hydro,0,0
2.New_Connections_MG_Hybrid,0,0
3.Capacity_Grid,6875292.603383293,192494420.13407442
3.Capacity_SA_Diesel,23270.412458519455,22279.168769805245
3.Capacity_SA_PV,3591969.4712742288,1553846.722823809
3.Capacity_MG_Diesel,907319.196999139,59301.97467197707
3.Capacity_MG_PV,86254355.53925031,26814890.61969742
3.Capacity_MG_Wind,0,85743.1445823116
3.Capacity_MG_Hydro,0,0
3.Capacity_MG_Hybrid,0,0
4.Investment_Grid,10697079379.367895,363193827190.5622
4.Investment_SA_Diesel,33491308.312398832,8645998.645878557
4.Investment_SA_PV,16110003763.536234,2389351687.0530195
4.Investment_MG_Diesel,1471813656.7403333,32369028.05744772
4.Investment_MG_PV,324881854381.056,31973893915.57753
4.Investment_MG_Wind,0,119330732.76668295
4.Investment_MG_Hydro,0,0
4.Investment_MG_Hybrid,0,0
Min_cluster_pop_2030,0.0,0.0
Max_cluster_pop_2030,14236909.00812,15741838.0
Min_cluster_area,100,100
Max_cluster_area,100,100
Min_existing_grid_dist,0.300000134,0.300000134
Max_existing_grid_dist,970.5854841,970.5854841
Min_road_dist,0.008095495,0.008095495
Max_road_dist,487.3041233,487.3041233
Min_investment_capita_cost,28.784456117482694,7.761509179459514
Max_investment_capita_cost,5788.813664555769,1873.687503625793
