,2025,2030
1.Population_Grid,315489678.1054797,888202266.0000002
1.Population_SA_Diesel,8553672.97842059,24024906.1818182
1.Population_SA_PV,317374209.85328645,310560508.36363566
1.Population_MG_Diesel,6331986.063450453,1047478.727272728
1.Population_MG_PV,140433084.3587246,32619429.81818183
1.Population_MG_Wind,101616.180097682,141735.9999999996
1.Population_MG_Hydro,0,0
1.Population_MG_Hybrid,0,0
2.New_Connections_Grid,17458778.083258525,473982991.0577549
2.New_Connections_SA_Diesel,2928146.5184415975,5566071.2117611
2.New_Connections_SA_PV,198756423.54393992,86320836.59345098
2.New_Connections_MG_Diesel,2767250.1534428853,414711.70569967065
2.New_Connections_MG_PV,91688653.81841595,14479343.950525185
2.New_Connections_MG_Wind,13061.504063029686,55362.2469169699
2.New_Connections_MG_Hydro,0,0
2.New_Connections_MG_Hybrid,0,0
3.Capacity_Grid,2966615.7902774727,75559768.32049125
3.Capacity_SA_Diesel,78668.76721645797,166882.67098580007
3.Capacity_SA_PV,9034178.959340012,4254685.665011774
3.Capacity_MG_Diesel,76232.34853581502,7466.421136087717
3.Capacity_MG_PV,4637440.270291419,2130102.009392281
3.Capacity_MG_Wind,487.751541227882,18081.298856218764
3.Capacity_MG_Hydro,0,0
3.Capacity_MG_Hybrid,0,0
4.Investment_Grid,5197636200.766348,139050595453.15625
4.Investment_SA_Diesel,113221883.88792993,64763069.13745047
4.Investment_SA_PV,45457148753.82259,7946082738.917241
4.Investment_MG_Diesel,306583867.5800576,14141138.77852153
4.Investment_MG_PV,20966961400.674927,2724063398.6184664
4.Investment_MG_Wind,3308402.9739365913,26028201.82268685
4.Investment_MG_Hydro,0,0
4.Investment_MG_Hybrid,0,0
Min_cluster_pop_2030,0.0,0.0
Max_cluster_pop_2030,14236909.00812,15741838.0
Min_cluster_area,100,100
Max_cluster_area,100,100
Min_existing_grid_dist,0.300000134,0.300000134
Max_existing_grid_dist,970.5854841,970.5854841
Min_road_dist,0.008095495,0.008095495
Max_road_dist,487.3041233,487.3041233
Min_investment_capita_cost,28.784456117482694,7.761509179459514
Max_investment_capita_cost,3618.395554598375,937.539478072518
