,2025,2030
1.Population_Grid,317643785.5010774,1105269555.0909092
1.Population_SA_Diesel,3655527.0024109134,6306806.545454546
1.Population_SA_PV,74296530.62825248,71727289.45454535
1.Population_MG_Diesel,11292299.303887302,1275459.8181818188
1.Population_MG_PV,377816498.15659356,71782530.90909094
1.Population_MG_Wind,0,234683.27272727198
1.Population_MG_Hydro,0,0
1.Population_MG_Hybrid,0,0
2.New_Connections_Grid,17491900.520913593,519938065.358862
2.New_Connections_SA_Diesel,1217400.4413681773,1468574.612460625
2.New_Connections_SA_PV,41296557.79155893,20343144.891532864
2.New_Connections_MG_Diesel,4889208.632279906,310644.85513416934
2.New_Connections_MG_PV,234846587.37175098,43308611.80936447
2.New_Connections_MG_Wind,0,161371.02370727196
2.New_Connections_MG_Hydro,0,0
2.New_Connections_MG_Hybrid,0,0
3.Capacity_Grid,4864864.575914366,114887908.4841487
3.Capacity_SA_Diesel,38775.4579817148,44071.463145788985
3.Capacity_SA_PV,3705563.4586965996,2460049.7805561502
3.Capacity_MG_Diesel,488370.51989384985,29539.207959052834
3.Capacity_MG_PV,37462679.09790532,12830069.432645129
3.Capacity_MG_Wind,0,41110.25405444458
3.Capacity_MG_Hydro,0,0
3.Capacity_MG_Hybrid,0,0
4.Investment_Grid,7850250959.091176,216869837560.61087
4.Investment_SA_Diesel,55806523.43549825,17103053.287912652
4.Investment_SA_PV,18381787001.736176,3866197841.094942
4.Investment_MG_Diesel,1025350147.4980474,19719176.030889668
4.Investment_MG_PV,149208989296.48834,15746464683.96262
4.Investment_MG_Wind,0,59349857.00472212
4.Investment_MG_Hydro,0,0
4.Investment_MG_Hybrid,0,0
Min_cluster_pop_2030,0.0,0.0
Max_cluster_pop_2030,14236909.00812,15741838.0
Min_cluster_area,100,100
Max_cluster_area,100,100
Min_existing_grid_dist,0.300000134,0.300000134
Max_existing_grid_dist,970.5854841,970.5854841
Min_road_dist,0.008095495,0.008095495
Max_road_dist,487.3041233,487.3041233
Min_investment_capita_cost,28.784456117482694,7.761509179459514
Max_investment_capita_cost,5188.177178202043,1348.8565288558475
