,2025,2030
1.Population_Grid,317893316.6980788,1155159026.0
1.Population_SA_Diesel,315517.65792113467,345909.454545454
1.Population_SA_PV,11247994.09225467,21271871.090909198
1.Population_MG_Diesel,13523064.580140505,1974678.3636363647
1.Population_MG_PV,441315667.6492124,77558197.81818187
1.Population_MG_Wind,212247.413519692,286642.3636363629
1.Population_MG_Hydro,0,0
1.Population_MG_Hybrid,0,0
2.New_Connections_Grid,17538717.091045737,540702197.0019494
2.New_Connections_SA_Diesel,93041.64709986444,79293.11420063523
2.New_Connections_SA_PV,6467167.047020699,13426375.572739203
2.New_Connections_MG_Diesel,5718332.681502527,456665.10775829724
2.New_Connections_MG_PV,282123013.8059102,31403798.1200595
2.New_Connections_MG_Wind,91419.2009117382,106232.0621446247
2.New_Connections_MG_Hydro,0,0
2.New_Connections_MG_Hybrid,0,0
3.Capacity_Grid,5712646.104071875,147790644.13064852
3.Capacity_SA_Diesel,12654.421496725727,10598.416801737008
3.Capacity_SA_PV,1013198.578802309,2350363.727887303
3.Capacity_MG_Diesel,459647.5898352473,27905.984043822904
3.Capacity_MG_PV,50280868.4623777,7763218.755402195
3.Capacity_MG_Wind,13092.382847539266,39056.214389374065
3.Capacity_MG_Hydro,0,0
3.Capacity_MG_Hybrid,0,0
4.Investment_Grid,9036114912.448957,267598539606.2017
4.Investment_SA_Diesel,18212532.01323159,4112985.464720988
4.Investment_SA_PV,4945864903.556083,3370730763.8338447
4.Investment_MG_Diesel,1109002412.5255795,20967228.32116466
4.Investment_MG_PV,198299009741.54633,9729232862.319365
4.Investment_MG_Wind,62523113.88961732,56225990.751017764
4.Investment_MG_Hydro,0,0
4.Investment_MG_Hybrid,0,0
Min_cluster_pop_2030,0.0,0.0
Max_cluster_pop_2030,14236909.00812,15741838.0
Min_cluster_area,100,100
Max_cluster_area,100,100
Min_existing_grid_dist,0.300000134,0.300000134
Max_existing_grid_dist,970.5854841,970.5854841
Min_road_dist,0.008095495,0.008095495
Max_road_dist,487.3041233,487.3041233
Min_investment_capita_cost,104.34993429356535,32.214099472389634
Max_investment_capita_cost,5088.1007356616265,1448.55981078789
