"","ISO3",".id","id","continent","scenario","kwh","Country.x","Value","through_grid","through_mg","share_grid","share_mg","Country.y","Total_gen","Nuclear","Fossil","RES","Hydro","Non_hydro_res","Geothermal","VRES","Tidal","Solar","Wind","Biomass_waste","share_fossil","share_res","share_biomass","share_nuclear","ef","co2"
"1","AGO",1,"Baseline","Africa","kwh_S0",121493472,"Angola",386.509,9611109,89484.6484375,0.990775343068626,0.00922465693137384,"        Angola",10.676,0,2.882,7.794,7.576,0.218,0,0.018,0,0.018,0,0.2,0.269951292618958,0.730048707381042,0.0187336080929187,0,386.509,13262255194055.8
"2","AGO",1,"Baseline","Africa","kwh_S1",222720528,"Angola",386.509,9611109,89484.6484375,0.990775343068626,0.00922465693137384,"        Angola",10.676,0,2.882,7.794,7.576,0.218,0,0.018,0,0.018,0,0.2,0.269951292618958,0.730048707381042,0.0187336080929187,0,386.509,50254768231350.7
"3","AGO",1,"Baseline","Africa","kwh_S2",483567712,"Angola",386.509,9611109,89484.6484375,0.990775343068626,0.00922465693137384,"        Angola",10.676,0,2.882,7.794,7.576,0.218,0,0.018,0,0.018,0,0.2,0.269951292618958,0.730048707381042,0.0187336080929187,0,386.509,96911115746825.1
"4","AGO",2,"SSP245","Africa","kwh_S0",136261632,"Angola",386.509,9611109,89484.6484375,0.990775343068626,0.00922465693137384,"        Angola",10.676,0,2.882,7.794,7.576,0.218,0,0.018,0,0.018,0,0.2,0.269951292618958,0.730048707381042,0.0187336080929187,0,386.509,16613530149818.7
"5","AGO",2,"SSP245","Africa","kwh_S1",305756096,"Angola",386.509,9611109,89484.6484375,0.990775343068626,0.00922465693137384,"        Angola",10.676,0,2.882,7.794,7.576,0.218,0,0.018,0,0.018,0,0.2,0.269951292618958,0.730048707381042,0.0187336080929187,0,386.509,59506598086836.9
"6","AGO",2,"SSP245","Africa","kwh_S2",691887296,"Angola",386.509,9611109,89484.6484375,0.990775343068626,0.00922465693137384,"        Angola",10.676,0,2.882,7.794,7.576,0.218,0,0.018,0,0.018,0,0.2,0.269951292618958,0.730048707381042,0.0187336080929187,0,386.509,112557084716377
"7","AGO",3,"SSP370","Africa","kwh_S0",138900384,"Angola",386.509,9611109,89484.6484375,0.990775343068626,0.00922465693137384,"        Angola",10.676,0,2.882,7.794,7.576,0.218,0,0.018,0,0.018,0,0.2,0.269951292618958,0.730048707381042,0.0187336080929187,0,386.509,16656344570672
"8","AGO",3,"SSP370","Africa","kwh_S1",317237248,"Angola",386.509,9611109,89484.6484375,0.990775343068626,0.00922465693137384,"        Angola",10.676,0,2.882,7.794,7.576,0.218,0,0.018,0,0.018,0,0.2,0.269951292618958,0.730048707381042,0.0187336080929187,0,386.509,59770046876135.3
"9","AGO",3,"SSP370","Africa","kwh_S2",720145664,"Angola",386.509,9611109,89484.6484375,0.990775343068626,0.00922465693137384,"        Angola",10.676,0,2.882,7.794,7.576,0.218,0,0.018,0,0.018,0,0.2,0.269951292618958,0.730048707381042,0.0187336080929187,0,386.509,113187070288611
"10","BDI",1,"Baseline","Africa","kwh_S0",713766400,NA,NA,5905340.5,0,1,0,"        Burundi",0.22,0,0.02,0.2,0.185,0.015,0,0.008,0,0.008,0,0.007,0.0909090909090909,0.909090909090909,0.0318181818181818,0,7.16893939393939,13262255194055.8
"11","BDI",1,"Baseline","Africa","kwh_S1",447989184,NA,NA,5905340.5,0,1,0,"        Burundi",0.22,0,0.02,0.2,0.185,0.015,0,0.008,0,0.008,0,0.007,0.0909090909090909,0.909090909090909,0.0318181818181818,0,7.16893939393939,50254768231350.7
"12","BDI",1,"Baseline","Africa","kwh_S2",854306496,NA,NA,5905340.5,0,1,0,"        Burundi",0.22,0,0.02,0.2,0.185,0.015,0,0.008,0,0.008,0,0.007,0.0909090909090909,0.909090909090909,0.0318181818181818,0,7.16893939393939,96911115746825.1
"13","BDI",2,"SSP245","Africa","kwh_S0",876394560,NA,NA,5905340.5,0,1,0,"        Burundi",0.22,0,0.02,0.2,0.185,0.015,0,0.008,0,0.008,0,0.007,0.0909090909090909,0.909090909090909,0.0318181818181818,0,7.16893939393939,16613530149818.7
"14","BDI",2,"SSP245","Africa","kwh_S1",592305472,NA,NA,5905340.5,0,1,0,"        Burundi",0.22,0,0.02,0.2,0.185,0.015,0,0.008,0,0.008,0,0.007,0.0909090909090909,0.909090909090909,0.0318181818181818,0,7.16893939393939,59506598086836.9
"15","BDI",2,"SSP245","Africa","kwh_S2",1170481408,NA,NA,5905340.5,0,1,0,"        Burundi",0.22,0,0.02,0.2,0.185,0.015,0,0.008,0,0.008,0,0.007,0.0909090909090909,0.909090909090909,0.0318181818181818,0,7.16893939393939,112557084716377
"16","BDI",3,"SSP370","Africa","kwh_S0",876547712,NA,NA,5905340.5,0,1,0,"        Burundi",0.22,0,0.02,0.2,0.185,0.015,0,0.008,0,0.008,0,0.007,0.0909090909090909,0.909090909090909,0.0318181818181818,0,7.16893939393939,16656344570672
"17","BDI",3,"SSP370","Africa","kwh_S1",630624768,NA,NA,5905340.5,0,1,0,"        Burundi",0.22,0,0.02,0.2,0.185,0.015,0,0.008,0,0.008,0,0.007,0.0909090909090909,0.909090909090909,0.0318181818181818,0,7.16893939393939,59770046876135.3
"18","BDI",3,"SSP370","Africa","kwh_S2",1264156032,NA,NA,5905340.5,0,1,0,"        Burundi",0.22,0,0.02,0.2,0.185,0.015,0,0.008,0,0.008,0,0.007,0.0909090909090909,0.909090909090909,0.0318181818181818,0,7.16893939393939,113187070288611
"19","BEN",1,"Baseline","Africa","kwh_S0",224869248,"Benin",675.18,3725204.75,0,1,0,"        Benin",0.311,0,0.305,0.006,0.001,0.005,0,0.005,0,0.005,0,0,0.980707395498392,0.0192926045016077,0,0,675.18,13262255194055.8
"20","BEN",1,"Baseline","Africa","kwh_S1",520349952,"Benin",675.18,3725204.75,0,1,0,"        Benin",0.311,0,0.305,0.006,0.001,0.005,0,0.005,0,0.005,0,0,0.980707395498392,0.0192926045016077,0,0,675.18,50254768231350.7
"21","BEN",1,"Baseline","Africa","kwh_S2",869002240,"Benin",675.18,3725204.75,0,1,0,"        Benin",0.311,0,0.305,0.006,0.001,0.005,0,0.005,0,0.005,0,0,0.980707395498392,0.0192926045016077,0,0,675.18,96911115746825.1
