"","month","value","source","iso3","tbase","method"
"58","Feb",6091.37158203125,"CDDs_worldclim (1970-2000 avg.)","CMR",22,"UKMO"
"59","Feb",20413.095703125,"CDDs_worldclim (1970-2000 avg.)","TCD",22,"UKMO"
"60","Feb",0,"CDDs_worldclim (1970-2000 avg.)","COM",22,"UKMO"
"61","Feb",11005.123046875,"CDDs_worldclim (1970-2000 avg.)","CAF",22,"UKMO"
"62","Feb",0,"CDDs_worldclim (1970-2000 avg.)","CPV",22,"UKMO"
"63","Feb",117.036956787109,"CDDs_worldclim (1970-2000 avg.)","DJI",22,"UKMO"
"64","Feb",154.684600830078,"CDDs_worldclim (1970-2000 avg.)","GNQ",22,"UKMO"
"65","Feb",1049.67687988281,"CDDs_worldclim (1970-2000 avg.)","ERI",22,"UKMO"
"66","Feb",13486.8779296875,"CDDs_worldclim (1970-2000 avg.)","ETH",22,"UKMO"
"67","Feb",220.990127563477,"CDDs_worldclim (1970-2000 avg.)","GMB",22,"UKMO"
"68","Feb",2411.03881835938,"CDDs_worldclim (1970-2000 avg.)","GAB",22,"UKMO"
"69","Feb",6960.96435546875,"CDDs_worldclim (1970-2000 avg.)","GHA",22,"UKMO"
"70","Feb",5381.8291015625,"CDDs_worldclim (1970-2000 avg.)","GIN",22,"UKMO"
"71","Feb",7504.0810546875,"CDDs_worldclim (1970-2000 avg.)","CIV",22,"UKMO"
"72","Feb",10802.1376953125,"CDDs_worldclim (1970-2000 avg.)","KEN",22,"UKMO"
"73","Feb",1564.04797363281,"CDDs_worldclim (1970-2000 avg.)","LBR",22,"UKMO"
"74","Feb",6745.20263671875,"CDDs_worldclim (1970-2000 avg.)","MDG",22,"UKMO"
"75","Feb",16818.26953125,"CDDs_worldclim (1970-2000 avg.)","MLI",22,"UKMO"
"76","Feb",8798.705078125,"CDDs_worldclim (1970-2000 avg.)","MRT",22,"UKMO"
"77","Feb",0,"CDDs_worldclim (1970-2000 avg.)","MLT",22,"UKMO"
"78","Feb",10286.421875,"CDDs_worldclim (1970-2000 avg.)","MOZ",22,"UKMO"
"79","Feb",510.827178955078,"CDDs_worldclim (1970-2000 avg.)","MWI",22,"UKMO"
"80","Feb",10411.2880859375,"CDDs_worldclim (1970-2000 avg.)","NER",22,"UKMO"
"81","Feb",0,"CDDs_worldclim (1970-2000 avg.)","MYT",22,"UKMO"
"82","Feb",0,"CDDs_worldclim (1970-2000 avg.)","ATF",22,"UKMO"
"83","Feb",20028.755859375,"CDDs_worldclim (1970-2000 avg.)","NGA",22,"UKMO"
"84","Feb",674.306030273438,"CDDs_worldclim (1970-2000 avg.)","GNB",22,"UKMO"
"85","Feb",3.12410712242126,"CDDs_worldclim (1970-2000 avg.)","RWA",22,"UKMO"
"86","Feb",0,"CDDs_worldclim (1970-2000 avg.)","SYC",22,"UKMO"
"87","Feb",10723.1396484375,"CDDs_worldclim (1970-2000 avg.)","ZAF",22,"UKMO"
"88","Feb",14.0371761322021,"CDDs_worldclim (1970-2000 avg.)","LSO",22,"UKMO"
"89","Feb",8496.9921875,"CDDs_worldclim (1970-2000 avg.)","BWA",22,"UKMO"
"90","Feb",4296.16357421875,"CDDs_worldclim (1970-2000 avg.)","SEN",22,"UKMO"
"91","Feb",1486.41979980469,"CDDs_worldclim (1970-2000 avg.)","SLE",22,"UKMO"
"92","Feb",10769.71484375,"CDDs_worldclim (1970-2000 avg.)","SOM",22,"UKMO"
"93","Feb",41231.09375,"CDDs_worldclim (1970-2000 avg.)","SDN",22,"UKMO"
"94","Feb",1679.939453125,"CDDs_worldclim (1970-2000 avg.)","TGO",22,"UKMO"
"95","Feb",0,"CDDs_worldclim (1970-2000 avg.)","STP",22,"UKMO"
"96","Feb",5320.2783203125,"CDDs_worldclim (1970-2000 avg.)","TZA",22,"UKMO"
"97","Feb",2084.185546875,"CDDs_worldclim (1970-2000 avg.)","UGA",22,"UKMO"
"98","Feb",7454.76953125,"CDDs_worldclim (1970-2000 avg.)","BFA",22,"UKMO"
"99","Feb",8119.84814453125,"CDDs_worldclim (1970-2000 avg.)","NAM",22,"UKMO"
"100","Feb",133.795272827148,"CDDs_worldclim (1970-2000 avg.)","SWZ",22,"UKMO"
"101","Feb",2615.84448242188,"CDDs_worldclim (1970-2000 avg.)","ZMB",22,"UKMO"
"102","Feb",2180.12451171875,"CDDs_worldclim (1970-2000 avg.)","ZWE",22,"UKMO"
"103","Mar",6436.04736328125,"CDDs_worldclim (1970-2000 avg.)","AGO",22,"UKMO"
"104","Mar",0,"CDDs_worldclim (1970-2000 avg.)","BHR",22,"UKMO"
"105","Mar",4504.7490234375,"CDDs_worldclim (1970-2000 avg.)","BEN",22,"UKMO"
"106","Mar",3553.62158203125,"CDDs_worldclim (1970-2000 avg.)","COG",22,"UKMO"
"107","Mar",18591.9609375,"CDDs_worldclim (1970-2000 avg.)","COD",22,"UKMO"
"108","Mar",26.9007129669189,"CDDs_worldclim (1970-2000 avg.)","BDI",22,"UKMO"
"109","Mar",7510.87548828125,"CDDs_worldclim (1970-2000 avg.)","CMR",22,"UKMO"
"110","Mar",38640.83984375,"CDDs_worldclim (1970-2000 avg.)","TCD",22,"UKMO"
"111","Mar",0,"CDDs_worldclim (1970-2000 avg.)","COM",22,"UKMO"
"112","Mar",12467.2421875,"CDDs_worldclim (1970-2000 avg.)","CAF",22,"UKMO"
"113","Mar",0,"CDDs_worldclim (1970-2000 avg.)","CPV",22,"UKMO"
"114","Mar",265.194061279297,"CDDs_worldclim (1970-2000 avg.)","DJI",22,"UKMO"
"115","Mar",172.982055664062,"CDDs_worldclim (1970-2000 avg.)","GNQ",22,"UKMO"
"116","Mar",1746.8408203125,"CDDs_worldclim (1970-2000 avg.)","ERI",22,"UKMO"
"117","Mar",16306.6845703125,"CDDs_worldclim (1970-2000 avg.)","ETH",22,"UKMO"
"118","Mar",350.483673095703,"CDDs_worldclim (1970-2000 avg.)","GMB",22,"UKMO"
"119","Mar",2690.5576171875,"CDDs_worldclim (1970-2000 avg.)","GAB",22,"UKMO"
"120","Mar",7606.55810546875,"CDDs_worldclim (1970-2000 avg.)","GHA",22,"UKMO"
"121","Mar",7679.45458984375,"CDDs_worldclim (1970-2000 avg.)","GIN",22,"UKMO"
"122","Mar",7954.69287109375,"CDDs_worldclim (1970-2000 avg.)","CIV",22,"UKMO"
"123","Mar",11026.32421875,"CDDs_worldclim (1970-2000 avg.)","KEN",22,"UKMO"
"124","Mar",1617.34484863281,"CDDs_worldclim (1970-2000 avg.)","LBR",22,"UKMO"
"125","Mar",6569.21044921875,"CDDs_worldclim (1970-2000 avg.)","MDG",22,"UKMO"
"126","Mar",32655.748046875,"CDDs_worldclim (1970-2000 avg.)","MLI",22,"UKMO"
"127","Mar",18853.1953125,"CDDs_worldclim (1970-2000 avg.)","MRT",22,"UKMO"
"128","Mar",0,"CDDs_worldclim (1970-2000 avg.)","MLT",22,"UKMO"
"129","Mar",8450.943359375,"CDDs_worldclim (1970-2000 avg.)","MOZ",22,"UKMO"
"130","Mar",481.307220458984,"CDDs_worldclim (1970-2000 avg.)","MWI",22,"UKMO"
"131","Mar",26278.0625,"CDDs_worldclim (1970-2000 avg.)","NER",22,"UKMO"
"132","Mar",0,"CDDs_worldclim (1970-2000 avg.)","MYT",22,"UKMO"
"133","Mar",0,"CDDs_worldclim (1970-2000 avg.)","ATF",22,"UKMO"
"134","Mar",29613.626953125,"CDDs_worldclim (1970-2000 avg.)","NGA",22,"UKMO"
"135","Mar",1047.7568359375,"CDDs_worldclim (1970-2000 avg.)","GNB",22,"UKMO"
"136","Mar",1.63847839832306,"CDDs_worldclim (1970-2000 avg.)","RWA",22,"UKMO"
"137","Mar",0,"CDDs_worldclim (1970-2000 avg.)","SYC",22,"UKMO"
"138","Mar",6442.767578125,"CDDs_worldclim (1970-2000 avg.)","ZAF",22,"UKMO"
"139","Mar",0.41678261756897,"CDDs_worldclim (1970-2000 avg.)","LSO",22,"UKMO"
"140","Mar",6995.3642578125,"CDDs_worldclim (1970-2000 avg.)","BWA",22,"UKMO"
"141","Mar",6933.04443359375,"CDDs_worldclim (1970-2000 avg.)","SEN",22,"UKMO"
"142","Mar",1858.8291015625,"CDDs_worldclim (1970-2000 avg.)","SLE",22,"UKMO"
"143","Mar",14009.0478515625,"CDDs_worldclim (1970-2000 avg.)","SOM",22,"UKMO"
"144","Mar",65754.859375,"CDDs_worldclim (1970-2000 avg.)","SDN",22,"UKMO"
"145","Mar",1832.88037109375,"CDDs_worldclim (1970-2000 avg.)","TGO",22,"UKMO"
"146","Mar",0,"CDDs_worldclim (1970-2000 avg.)","STP",22,"UKMO"
"147","Mar",4942.75634765625,"CDDs_worldclim (1970-2000 avg.)","TZA",22,"UKMO"
"148","Mar",1802.73486328125,"CDDs_worldclim (1970-2000 avg.)","UGA",22,"UKMO"
"149","Mar",11903.0546875,"CDDs_worldclim (1970-2000 avg.)","BFA",22,"UKMO"
"150","Mar",6429.8544921875,"CDDs_worldclim (1970-2000 avg.)","NAM",22,"UKMO"
"151","Mar",101.586601257324,"CDDs_worldclim (1970-2000 avg.)","SWZ",22,"UKMO"
"152","Mar",2997.935546875,"CDDs_worldclim (1970-2000 avg.)","ZMB",22,"UKMO"
"153","Mar",2158.29736328125,"CDDs_worldclim (1970-2000 avg.)","ZWE",22,"UKMO"
"154","Apr",6741.4326171875,"CDDs_worldclim (1970-2000 avg.)","AGO",22,"UKMO"
"155","Apr",0,"CDDs_worldclim (1970-2000 avg.)","BHR",22,"UKMO"
"156","Apr",4306.84130859375,"CDDs_worldclim (1970-2000 avg.)","BEN",22,"UKMO"
"157","Apr",3473.29296875,"CDDs_worldclim (1970-2000 avg.)","COG",22,"UKMO"
"158","Apr",17910.6640625,"CDDs_worldclim (1970-2000 avg.)","COD",22,"UKMO"
"159","Apr",26.9496898651123,"CDDs_worldclim (1970-2000 avg.)","BDI",22,"UKMO"
"160","Apr",7244.98876953125,"CDDs_worldclim (1970-2000 avg.)","CMR",22,"UKMO"
"161","Apr",57051.1875,"CDDs_worldclim (1970-2000 avg.)","TCD",22,"UKMO"
"162","Apr",0,"CDDs_worldclim (1970-2000 avg.)","COM",22,"UKMO"
"163","Apr",10626.52734375,"CDDs_worldclim (1970-2000 avg.)","CAF",22,"UKMO"
"164","Apr",0,"CDDs_worldclim (1970-2000 avg.)","CPV",22,"UKMO"
"165","Apr",505.282897949219,"CDDs_worldclim (1970-2000 avg.)","DJI",22,"UKMO"
