"","scenario","id","co2"
"1","kwh_S0","Baseline",17.1658046189396
"2","kwh_S0","SSP245",17.5771447940672
"3","kwh_S0","SSP370",17.6059767811947
"4","kwh_S1","Baseline",70.3444777444725
"5","kwh_S1","SSP245",78.5306014779596
"6","kwh_S1","SSP370",79.0887478263539
"7","kwh_S2","Baseline",131.587903920391
"8","kwh_S2","SSP245",145.776494980353
"9","kwh_S2","SSP370",146.795899021513
"10","kwh_S3","Baseline",306.859838653137
"11","kwh_S3","SSP245",336.13331925589
"12","kwh_S3","SSP370",338.486454595219
"13","kwh_S4","Baseline",3.79938567567427
"14","kwh_S4","SSP245",3.79938567567427
"15","kwh_S4","SSP370",3.79938567567427
