"","scenario","id","co2"
"1","kwh_S0","Baseline",13.2622551940558
"2","kwh_S0","SSP245",16.6135301498187
"3","kwh_S0","SSP370",16.656344570672
"4","kwh_S1","Baseline",50.2547682313507
"5","kwh_S1","SSP245",59.5065980868369
"6","kwh_S1","SSP370",59.7700468761353
"7","kwh_S2","Baseline",96.9111157468251
"8","kwh_S2","SSP245",112.557084716377
"9","kwh_S2","SSP370",113.187070288611
"10","kwh_S3","Baseline",236.036071354468
"11","kwh_S3","SSP245",266.79744307408
"12","kwh_S3","SSP370",268.714406183101
"13","kwh_S4","Baseline",3.51198324130514
"14","kwh_S4","SSP245",3.7852725413517
"15","kwh_S4","SSP370",3.7856567940609
