"","ISO3",".id","id","continent","scenario","kwh","Country.x","Value","through_grid","through_mg","share_grid","share_mg","Country.y","Total_gen","Nuclear","Fossil","RES","Hydro","Non_hydro_res","Geothermal","VRES","Tidal","Solar","Wind","Biomass_waste","share_fossil","share_res","share_biomass","share_nuclear","ef","co2"
"1","AGO",1,"Baseline","Africa","kwh_S0",135688400,"Angola",386.509,9611109,89484.6484375,0.990775343068626,0.00922465693137384,"        Angola",10.676,0,2.882,7.794,7.576,0.218,0,0.018,0,0.018,0,0.2,0.269951292618958,0.730048707381042,0.0187336080929187,0,386.509,16656954248249.6
"2","AGO",1,"Baseline","Africa","kwh_S1",309926240,"Angola",386.509,9611109,89484.6484375,0.990775343068626,0.00922465693137384,"        Angola",10.676,0,2.882,7.794,7.576,0.218,0,0.018,0,0.018,0,0.2,0.269951292618958,0.730048707381042,0.0187336080929187,0,386.509,61387207899650.2
"3","AGO",1,"Baseline","Africa","kwh_S2",702327936,"Angola",386.509,9611109,89484.6484375,0.990775343068626,0.00922465693137384,"        Angola",10.676,0,2.882,7.794,7.576,0.218,0,0.018,0,0.018,0,0.2,0.269951292618958,0.730048707381042,0.0187336080929187,0,386.509,115871434937307
"4","AGO",2,"SSP245","Africa","kwh_S0",154240016,"Angola",386.509,9611109,89484.6484375,0.990775343068626,0.00922465693137384,"        Angola",10.676,0,2.882,7.794,7.576,0.218,0,0.018,0,0.018,0,0.2,0.269951292618958,0.730048707381042,0.0187336080929187,0,386.509,17132764640111.6
"5","AGO",2,"SSP245","Africa","kwh_S1",373969952,"Angola",386.509,9611109,89484.6484375,0.990775343068626,0.00922465693137384,"        Angola",10.676,0,2.882,7.794,7.576,0.218,0,0.018,0,0.018,0,0.2,0.269951292618958,0.730048707381042,0.0187336080929187,0,386.509,68762963314628.3
"6","AGO",2,"SSP245","Africa","kwh_S2",856190528,"Angola",386.509,9611109,89484.6484375,0.990775343068626,0.00922465693137384,"        Angola",10.676,0,2.882,7.794,7.576,0.218,0,0.018,0,0.018,0,0.2,0.269951292618958,0.730048707381042,0.0187336080929187,0,386.509,128766600569002
"7","AGO",3,"SSP370","Africa","kwh_S0",156972688,"Angola",386.509,9611109,89484.6484375,0.990775343068626,0.00922465693137384,"        Angola",10.676,0,2.882,7.794,7.576,0.218,0,0.018,0,0.018,0,0.2,0.269951292618958,0.730048707381042,0.0187336080929187,0,386.509,17171375571575.1
"8","AGO",3,"SSP370","Africa","kwh_S1",379955744,"Angola",386.509,9611109,89484.6484375,0.990775343068626,0.00922465693137384,"        Angola",10.676,0,2.882,7.794,7.576,0.218,0,0.018,0,0.018,0,0.2,0.269951292618958,0.730048707381042,0.0187336080929187,0,386.509,69163162877511.2
"9","AGO",3,"SSP370","Africa","kwh_S2",870670336,"Angola",386.509,9611109,89484.6484375,0.990775343068626,0.00922465693137384,"        Angola",10.676,0,2.882,7.794,7.576,0.218,0,0.018,0,0.018,0,0.2,0.269951292618958,0.730048707381042,0.0187336080929187,0,386.509,129552223999967
"10","BDI",1,"Baseline","Africa","kwh_S0",876372928,NA,NA,5905340.5,0,1,0,"        Burundi",0.22,0,0.02,0.2,0.185,0.015,0,0.008,0,0.008,0,0.007,0.0909090909090909,0.909090909090909,0.0318181818181818,0,7.16893939393939,16656954248249.6
"11","BDI",1,"Baseline","Africa","kwh_S1",603639360,NA,NA,5905340.5,0,1,0,"        Burundi",0.22,0,0.02,0.2,0.185,0.015,0,0.008,0,0.008,0,0.007,0.0909090909090909,0.909090909090909,0.0318181818181818,0,7.16893939393939,61387207899650.2
"12","BDI",1,"Baseline","Africa","kwh_S2",1195774080,NA,NA,5905340.5,0,1,0,"        Burundi",0.22,0,0.02,0.2,0.185,0.015,0,0.008,0,0.008,0,0.007,0.0909090909090909,0.909090909090909,0.0318181818181818,0,7.16893939393939,115871434937307
"13","BDI",2,"SSP245","Africa","kwh_S0",878858368,NA,NA,5905340.5,0,1,0,"        Burundi",0.22,0,0.02,0.2,0.185,0.015,0,0.008,0,0.008,0,0.007,0.0909090909090909,0.909090909090909,0.0318181818181818,0,7.16893939393939,17132764640111.6
"14","BDI",2,"SSP245","Africa","kwh_S1",864060096,NA,NA,5905340.5,0,1,0,"        Burundi",0.22,0,0.02,0.2,0.185,0.015,0,0.008,0,0.008,0,0.007,0.0909090909090909,0.909090909090909,0.0318181818181818,0,7.16893939393939,68762963314628.3
"15","BDI",2,"SSP245","Africa","kwh_S2",1839238016,NA,NA,5905340.5,0,1,0,"        Burundi",0.22,0,0.02,0.2,0.185,0.015,0,0.008,0,0.008,0,0.007,0.0909090909090909,0.909090909090909,0.0318181818181818,0,7.16893939393939,128766600569002
"16","BDI",3,"SSP370","Africa","kwh_S0",879131136,NA,NA,5905340.5,0,1,0,"        Burundi",0.22,0,0.02,0.2,0.185,0.015,0,0.008,0,0.008,0,0.007,0.0909090909090909,0.909090909090909,0.0318181818181818,0,7.16893939393939,17171375571575.1
"17","BDI",3,"SSP370","Africa","kwh_S1",880846336,NA,NA,5905340.5,0,1,0,"        Burundi",0.22,0,0.02,0.2,0.185,0.015,0,0.008,0,0.008,0,0.007,0.0909090909090909,0.909090909090909,0.0318181818181818,0,7.16893939393939,69163162877511.2
"18","BDI",3,"SSP370","Africa","kwh_S2",1877700224,NA,NA,5905340.5,0,1,0,"        Burundi",0.22,0,0.02,0.2,0.185,0.015,0,0.008,0,0.008,0,0.007,0.0909090909090909,0.909090909090909,0.0318181818181818,0,7.16893939393939,129552223999967
"19","BEN",1,"Baseline","Africa","kwh_S0",227017632,"Benin",675.18,3725204.75,0,1,0,"        Benin",0.311,0,0.305,0.006,0.001,0.005,0,0.005,0,0.005,0,0,0.980707395498392,0.0192926045016077,0,0,675.18,16656954248249.6
"20","BEN",1,"Baseline","Africa","kwh_S1",576780480,"Benin",675.18,3725204.75,0,1,0,"        Benin",0.311,0,0.305,0.006,0.001,0.005,0,0.005,0,0.005,0,0,0.980707395498392,0.0192926045016077,0,0,675.18,61387207899650.2
"21","BEN",1,"Baseline","Africa","kwh_S2",962066880,"Benin",675.18,3725204.75,0,1,0,"        Benin",0.311,0,0.305,0.006,0.001,0.005,0,0.005,0,0.005,0,0,0.980707395498392,0.0192926045016077,0,0,675.18,115871434937307
"22","BEN",2,"SSP245","Africa","kwh_S0",228331712,"Benin",675.18,3725204.75,0,1,0,"        Benin",0.311,0,0.305,0.006,0.001,0.005,0,0.005,0,0.005,0,0,0.980707395498392,0.0192926045016077,0,0,675.18,17132764640111.6
"23","BEN",2,"SSP245","Africa","kwh_S1",621158976,"Benin",675.18,3725204.75,0,1,0,"        Benin",0.311,0,0.305,0.006,0.001,0.005,0,0.005,0,0.005,0,0,0.980707395498392,0.0192926045016077,0,0,675.18,68762963314628.3
"24","BEN",2,"SSP245","Africa","kwh_S2",1041256320,"Benin",675.18,3725204.75,0,1,0,"        Benin",0.311,0,0.305,0.006,0.001,0.005,0,0.005,0,0.005,0,0,0.980707395498392,0.0192926045016077,0,0,675.18,128766600569002
"25","BEN",3,"SSP370","Africa","kwh_S0",228417552,"Benin",675.18,3725204.75,0,1,0,"        Benin",0.311,0,0.305,0.006,0.001,0.005,0,0.005,0,0.005,0,0,0.980707395498392,0.0192926045016077,0,0,675.18,17171375571575.1
"26","BEN",3,"SSP370","Africa","kwh_S1",624071232,"Benin",675.18,3725204.75,0,1,0,"        Benin",0.311,0,0.305,0.006,0.001,0.005,0,0.005,0,0.005,0,0,0.980707395498392,0.0192926045016077,0,0,675.18,69163162877511.2
"27","BEN",3,"SSP370","Africa","kwh_S2",1046739392,"Benin",675.18,3725204.75,0,1,0,"        Benin",0.311,0,0.305,0.006,0.001,0.005,0,0.005,0,0.005,0,0,0.980707395498392,0.0192926045016077,0,0,675.18,129552223999967
"28","BFA",1,"Baseline","Africa","kwh_S0",157653248,NA,NA,10367727,0,1,0,"        Burkina Faso",1.116,0,0.958,0.158,0.128,0.03,0,0.029,0,0.029,0,0.001,0.8584229390681,0.1415770609319,0.000896057347670251,0,51.0686678614098,16656954248249.6
"29","BFA",1,"Baseline","Africa","kwh_S1",654365504,NA,NA,10367727,0,1,0,"        Burkina Faso",1.116,0,0.958,0.158,0.128,0.03,0,0.029,0,0.029,0,0.001,0.8584229390681,0.1415770609319,0.000896057347670251,0,51.0686678614098,61387207899650.2
"30","BFA",1,"Baseline","Africa","kwh_S2",1534178944,NA,NA,10367727,0,1,0,"        Burkina Faso",1.116,0,0.958,0.158,0.128,0.03,0,0.029,0,0.029,0,0.001,0.8584229390681,0.1415770609319,0.000896057347670251,0,51.0686678614098,115871434937307
"31","BFA",2,"SSP245","Africa","kwh_S0",161410288,NA,NA,10367727,0,1,0,"        Burkina Faso",1.116,0,0.958,0.158,0.128,0.03,0,0.029,0,0.029,0,0.001,0.8584229390681,0.1415770609319,0.000896057347670251,0,51.0686678614098,17132764640111.6
"32","BFA",2,"SSP245","Africa","kwh_S1",712288128,NA,NA,10367727,0,1,0,"        Burkina Faso",1.116,0,0.958,0.158,0.128,0.03,0,0.029,0,0.029,0,0.001,0.8584229390681,0.1415770609319,0.000896057347670251,0,51.0686678614098,68762963314628.3
"33","BFA",2,"SSP245","Africa","kwh_S2",1675082240,NA,NA,10367727,0,1,0,"        Burkina Faso",1.116,0,0.958,0.158,0.128,0.03,0,0.029,0,0.029,0,0.001,0.8584229390681,0.1415770609319,0.000896057347670251,0,51.0686678614098,128766600569002
"34","BFA",3,"SSP370","Africa","kwh_S0",161627952,NA,NA,10367727,0,1,0,"        Burkina Faso",1.116,0,0.958,0.158,0.128,0.03,0,0.029,0,0.029,0,0.001,0.8584229390681,0.1415770609319,0.000896057347670251,0,51.0686678614098,17171375571575.1
"35","BFA",3,"SSP370","Africa","kwh_S1",716310976,NA,NA,10367727,0,1,0,"        Burkina Faso",1.116,0,0.958,0.158,0.128,0.03,0,0.029,0,0.029,0,0.001,0.8584229390681,0.1415770609319,0.000896057347670251,0,51.0686678614098,69163162877511.2
"36","BFA",3,"SSP370","Africa","kwh_S2",1685767168,NA,NA,10367727,0,1,0,"        Burkina Faso",1.116,0,0.958,0.158,0.128,0.03,0,0.029,0,0.029,0,0.001,0.8584229390681,0.1415770609319,0.000896057347670251,0,51.0686678614098,129552223999967
"37","BWA",1,"Baseline","Africa","kwh_S0",48467052,"Botswana",1285.587,799236,3986.40283203125,0.995036987491913,0.00496301250808723,"        Botswana",2.841,0,2.839,0.002,0,0.002,0,0.002,0,0.002,0,0,0.999296022527279,0.000703977472720873,0,0,1285.587,16656954248249.6
"38","BWA",1,"Baseline","Africa","kwh_S1",71685440,"Botswana",1285.587,799236,3986.40283203125,0.995036987491913,0.00496301250808723,"        Botswana",2.841,0,2.839,0.002,0,0.002,0,0.002,0,0.002,0,0,0.999296022527279,0.000703977472720873,0,0,1285.587,61387207899650.2
"39","BWA",1,"Baseline","Africa","kwh_S2",138454000,"Botswana",1285.587,799236,3986.40283203125,0.995036987491913,0.00496301250808723,"        Botswana",2.841,0,2.839,0.002,0,0.002,0,0.002,0,0.002,0,0,0.999296022527279,0.000703977472720873,0,0,1285.587,115871434937307
"40","BWA",2,"SSP245","Africa","kwh_S0",65662472,"Botswana",1285.587,799236,3986.40283203125,0.995036987491913,0.00496301250808723,"        Botswana",2.841,0,2.839,0.002,0,0.002,0,0.002,0,0.002,0,0,0.999296022527279,0.000703977472720873,0,0,1285.587,17132764640111.6
"41","BWA",2,"SSP245","Africa","kwh_S1",78545504,"Botswana",1285.587,799236,3986.40283203125,0.995036987491913,0.00496301250808723,"        Botswana",2.841,0,2.839,0.002,0,0.002,0,0.002,0,0.002,0,0,0.999296022527279,0.000703977472720873,0,0,1285.587,68762963314628.3
"42","BWA",2,"SSP245","Africa","kwh_S2",152129648,"Botswana",1285.587,799236,3986.40283203125,0.995036987491913,0.00496301250808723,"        Botswana",2.841,0,2.839,0.002,0,0.002,0,0.002,0,0.002,0,0,0.999296022527279,0.000703977472720873,0,0,1285.587,128766600569002
"43","BWA",3,"SSP370","Africa","kwh_S0",67105508,"Botswana",1285.587,799236,3986.40283203125,0.995036987491913,0.00496301250808723,"        Botswana",2.841,0,2.839,0.002,0,0.002,0,0.002,0,0.002,0,0,0.999296022527279,0.000703977472720873,0,0,1285.587,17171375571575.1
"44","BWA",3,"SSP370","Africa","kwh_S1",79156864,"Botswana",1285.587,799236,3986.40283203125,0.995036987491913,0.00496301250808723,"        Botswana",2.841,0,2.839,0.002,0,0.002,0,0.002,0,0.002,0,0,0.999296022527279,0.000703977472720873,0,0,1285.587,69163162877511.2
"45","BWA",3,"SSP370","Africa","kwh_S2",153363552,"Botswana",1285.587,799236,3986.40283203125,0.995036987491913,0.00496301250808723,"        Botswana",2.841,0,2.839,0.002,0,0.002,0,0.002,0,0.002,0,0,0.999296022527279,0.000703977472720873,0,0,1285.587,129552223999967
"46","CAF",1,"Baseline","Africa","kwh_S0",44486072,NA,NA,2389497.75,899097.4375,0.726601364340165,0.273398635659835,"        Central African Republic",0.1514,0,0.001,0.1504,0.15,4e-04,0,4e-04,0,4e-04,0,0,0.00660501981505945,0.993394980184941,0,0,9288.68947154047,16656954248249.6
